firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender
name789,lastname789,June,6,1998,BS Management Engineering,Globe,Female
name790,lastname790,November,8,1999,BS Management Engineering,Globe,Male
name791,lastname791,February,2,1998,BS Management,Smart,Male
name792,lastname792,June,28,1998,BS Legal Management,Globe,Female
name793,lastname793,January,19,2000,BS Management,Smart,Male
name794,lastname794,April,17,1999,BS Communications Technology,Globe,Male
name795,lastname795,July,20,1999,BS Legal Management,Globe,Female
name796,lastname796,June,28,1998,BS Management,Globe,Female
name797,lastname797,September,27,1999,BS Management,Globe,Male
name798,lastname798,October,8,1999,BS Management,Globe,Male
name799,lastname799,October,6,1997,BS Legal Management,Globe,Male
name800,lastname800,October,4,2000,BS Management Engineering,Globe,Male
name801,lastname801,July,9,1998,BS Communications Technology,Smart,Female
name802,lastname802,September,20,2000,BS Legal Managemnet,Globe,Female
name803,lastname803,September,8,1999,BS Management Engineering,Globe,Male
name804,lastname804,January,4,2000,BS Communications Technology,Smart,Female
name805,lastname805,February,22,1999,BS Management,Globe,Male
name806,lastname806,September,16,1998,BS Management Engineering,Globe,Female
name807,lastname807,August,16,1999,BS Management,Globe,Male
name808,lastname808,February,5,1997,BS Legal Management,Globe,Female
name809,lastname809,March,16,1999,BS Legal Management,Globe,Female
name810,lastname810,July,27,2001,BS Management,Globe,Male
name811,lastname811,September,12,1997,BS Legal Management,Globe,Female
name812,lastname812,April,3,2000,BS Information Technology Entrepreneurship,Globe,Male
name813,lastname813,July,22,1998,BS Information Technology Entrepreneurship,Globe,Male
name814,lastname814,September,24,2001,BS Legal Management,Smart,Male
name815,lastname815,May,28,1997,BS Management,Globe,Male
name816,lastname816,October,22,2000,BS Management Engineering,Globe,Male
name817,lastname817,May,23,2000,BS Legal Management,Globe,Female
name818,lastname818,May,5,1997,BS Management Engineering,Smart,Female
name819,lastname819,March,2,2000,BS Information Technology Entrepreneurship,Globe,Male
name820,lastname820,May,8,2001,BS Management,Globe,Male
name821,lastname821,December,20,2001,BS Management,Smart,Female
name822,lastname822,February,28,1998,BS Legal Management,Smart,Female
name823,lastname823,February,26,1998,BS Communications Technology,Globe,Female
name824,lastname824,June,28,1997,BS Legal Management,Smart,Female
name825,lastname825,December,10,1998,BS Management Engineering,Globe,Male
name826,lastname826,January,1,1998,BS Communications Technology,Smart,Female
name827,lastname827,November,21,1997,BS Management,Globe,Female
name828,lastname828,July,13,2000,BS Management Engineering,Smart,Female
name829,lastname829,September,7,2001,BS Management,Globe,Female
name830,lastname830,August,19,1999,BS Management,Globe,Male
name831,lastname831,January,2,1999,BS Information Technology Entrepreneurship,Globe,Female
name832,lastname832,August,20,1998,BS Communications Technology,Globe,Female
name833,lastname833,September,15,2000,BS Information Technology Entrepreneurship,Globe,Female
name834,lastname834,May,15,2001,BS Communications Technology,Globe,Female
name835,lastname835,August,25,2001,BS Legal Management,Smart,Male
name836,lastname836,March,26,2001,BS Management Engineering,Globe,Female
name837,lastname837,November,14,2000,BS Communications Technology,Globe,Female
name838,lastname838,December,13,2001,BS Communications Technology,Smart,Male
name839,lastname839,September,3,1998,BS Management,Globe,Male
name840,lastname840,October,22,1998,BS Communications Technology,Globe,Female
name841,lastname841,August,20,1999,BS Management,Globe,Male
name842,lastname842,July,22,1999,BS Information Technology Entrepreneurship,Globe,Female
name843,lastname843,April,4,1997,BS Management,Globe,Female
name844,lastname844,May,28,1999,BS Management Engineering,Globe,Male
name845,lastname845,September,7,1998,BS Information Technology Entrepreneurship,Smart,Male
name846,lastname846,September,1,1997,BS Legal Managemnet,Smart,Female
name847,lastname847,November,15,1998,BS Management Engineering,Globe,Female
name848,lastname848,August,17,1999,BS Information Technology Entrepreneurship,Smart,Female
name849,lastname849,September,15,1997,BS Communications Technology,Globe,Male
name850,lastname850,November,16,2001,BS Management Engineering,Smart,Female
name851,lastname851,July,4,1997,BS Legal Management,Smart,Female
name852,lastname852,July,1,1997,BS Legal Management,Globe,Female
name853,lastname853,June,21,2000,BS Communications Technology,Globe,Male
name854,lastname854,September,6,1997,BS Information Technology Entrepreneurship,Smart,Male
name855,lastname855,February,23,1998,BS Management Engineering,Globe,Female
name856,lastname856,May,7,1998,BS Management,Globe,Female
name857,lastname857,September,13,1998,BS Legal Management,Globe,Female
name858,lastname858,April,18,2000,BS Information Technology Entrepreneurship,Globe,Male
name859,lastname859,November,20,2001,BS Legal Managemnet,Smart,Female
name860,lastname860,April,19,1997,BS Management Engineering,Smart,Female
name861,lastname861,December,27,1998,BS Information Technology Entrepreneurship,Smart,Female
name862,lastname862,July,3,1998,BS Management,Globe,Male
name863,lastname863,February,12,2001,BS Management,Globe,Female
name864,lastname864,July,12,1999,BS Legal Managemnet,Smart,Male
name865,lastname865,May,17,2001,BS Legal Management,Globe,Male
name866,lastname866,May,16,1998,BS Legal Management,Globe,Male
name867,lastname867,March,28,1997,BS Information Technology Entrepreneurship,Globe,Male
name868,lastname868,January,11,1999,BS Management Engineering,Globe,Male
name869,lastname869,July,27,1997,BS Communications Technology,Globe,Male
name870,lastname870,January,11,1999,BS Communications Technology,Smart,Male
name871,lastname871,July,7,1999,BS Communications Technology,Globe,Female
name872,lastname872,March,23,1997,BS Communications Technology,Globe,Female
name873,lastname873,May,17,1999,BS Management Engineering,Smart,Female
name874,lastname874,January,10,1998,BS Communications Technology,Smart,Female
name875,lastname875,June,17,2001,BS Information Technology Entrepreneurship,Globe,Female
name876,lastname876,February,21,2001,BS Communications Technology,Smart,Female
name877,lastname877,August,27,2001,BS Information Technology Entrepreneurship,Smart,Female
name878,lastname878,July,22,1999,BS Legal Managemnet,Smart,Male
name879,lastname879,December,25,1998,BS Management Engineering,Smart,Male
name880,lastname880,March,17,1998,BS Management Engineering,Globe,Female
name881,lastname881,December,2,2000,BS Information Technology Entrepreneurship,Globe,Female
name882,lastname882,April,5,1999,BS Communications Technology,Globe,Female
name883,lastname883,July,4,1997,BS Legal Managemnet,Globe,Female
name884,lastname884,April,23,2000,BS Legal Management,Smart,Female
name885,lastname885,December,11,2000,BS Management,Globe,Male
name886,lastname886,October,26,1997,BS Legal Managemnet,Globe,Female
name887,lastname887,April,4,2000,BS Management Engineering,Globe,Female
name888,lastname888,July,2,1998,BS Management,Globe,Female
name889,lastname889,July,20,2001,BS Management,Globe,Male
name890,lastname890,November,2,1998,BS Management,Globe,Male
name891,lastname891,August,13,2000,BS Management Engineering,Smart,Female
name892,lastname892,March,26,1998,BS Management Engineering,Globe,Male
name893,lastname893,July,2,1998,BS Legal Management,Globe,Female
name894,lastname894,March,21,1999,BS Legal Managemnet,Globe,Male
name895,lastname895,February,14,1999,BS Information Technology Entrepreneurship,Globe,Male
name896,lastname896,October,10,1998,BS Legal Management,Globe,Male
name897,lastname897,October,1,2000,BS Management,Smart,Male
name898,lastname898,April,17,1999,BS Information Technology Entrepreneurship,Globe,Male
name899,lastname899,August,3,1997,BS Management,Smart,Male
name900,lastname900,December,4,1997,BS Legal Management,Globe,Female
name901,lastname901,April,2,2001,BS Communications Technology,Globe,Male
name902,lastname902,January,18,2001,BS Information Technology Entrepreneurship,Smart,Female
name903,lastname903,May,27,1997,BS Management,Smart,Female
name904,lastname904,December,8,1997,BS Management Engineering,Globe,Female
name905,lastname905,March,12,1999,BS Information Technology Entrepreneurship,Globe,Female
name906,lastname906,October,12,1998,BS Legal Managemnet,Smart,Female
name907,lastname907,July,25,1997,BS Communications Technology,Globe,Female
name908,lastname908,January,11,1999,BS Communications Technology,Smart,Male
name909,lastname909,December,27,1998,BS Communications Technology,Smart,Male
name910,lastname910,September,15,2001,BS Communications Technology,Smart,Female
name911,lastname911,November,9,1997,BS Management,Smart,Male
name912,lastname912,December,1,1998,BS Management,Smart,Female
name913,lastname913,June,23,1999,BS Management,Globe,Male
name914,lastname914,March,23,1999,BS Information Technology Entrepreneurship,Globe,Female
name915,lastname915,April,19,1997,BS Legal Managemnet,Globe,Female
name916,lastname916,January,24,1997,BS Communications Technology,Globe,Male
name917,lastname917,August,17,2001,BS Information Technology Entrepreneurship,Globe,Male
name918,lastname918,November,9,1997,BS Legal Managemnet,Smart,Female
name919,lastname919,March,18,1997,BS Communications Technology,Smart,Male
name920,lastname920,November,12,2000,BS Management Engineering,Globe,Male
name921,lastname921,July,21,2001,BS Management,Globe,Male
name922,lastname922,May,25,2000,BS Legal Management,Smart,Male
name923,lastname923,January,17,2001,BS Management,Globe,Male
name924,lastname924,July,14,1997,BS Communications Technology,Globe,Male
name925,lastname925,November,4,1999,BS Communications Technology,Globe,Female
name926,lastname926,April,24,1998,BS Information Technology Entrepreneurship,Smart,Male
name927,lastname927,July,28,1997,BS Management Engineering,Smart,Male
name928,lastname928,February,13,1997,BS Management Engineering,Smart,Female
name929,lastname929,November,21,1999,BS Information Technology Entrepreneurship,Smart,Female
name930,lastname930,November,25,1999,BS Management Engineering,Globe,Male
name931,lastname931,March,16,1998,BS Management,Globe,Male
name932,lastname932,August,5,1999,BS Management,Globe,Male
name933,lastname933,June,12,1999,BS Legal Managemnet,Globe,Female
name934,lastname934,July,28,2000,BS Management Engineering,Globe,Female
name935,lastname935,August,24,1999,BS Communications Technology,Smart,Male
name936,lastname936,November,2,2000,BS Legal Management,Smart,Male
name937,lastname937,January,8,1998,BS Management,Smart,Male
name938,lastname938,January,22,2000,BS Management Engineering,Smart,Female
name939,lastname939,April,17,1997,BS Management Engineering,Globe,Female
name940,lastname940,June,6,1998,BS Management,Globe,Female
name941,lastname941,July,21,1999,BS Management Engineering,Globe,Male
name942,lastname942,August,14,2000,BS Communications Technology,Globe,Male
name943,lastname943,April,24,1999,BS Communications Technology,Globe,Male
name944,lastname944,November,13,1998,BS Communications Technology,Globe,Female
name945,lastname945,November,2,1999,BS Information Technology Entrepreneurship,Globe,Female
name946,lastname946,September,20,1998,BS Management Engineering,Globe,Female
name947,lastname947,September,27,1999,BS Management Engineering,Globe,Male
name948,lastname948,July,9,1998,BS Information Technology Entrepreneurship,Globe,Female
name949,lastname949,August,7,2000,BS Management Engineering,Globe,Female
name950,lastname950,July,15,1997,BS Management,Globe,Female
name951,lastname951,August,20,2000,BS Management Engineering,Globe,Female
name952,lastname952,April,7,1998,BS Legal Managemnet,Smart,Male
name953,lastname953,July,16,2001,BS Legal Management,Smart,Female
name954,lastname954,April,23,2000,BS Communications Technology,Smart,Female
name955,lastname955,November,4,1998,BS Information Technology Entrepreneurship,Smart,Male
name956,lastname956,November,16,1997,BS Legal Managemnet,Globe,Male
name957,lastname957,March,15,1997,BS Management,Smart,Male
name958,lastname958,June,23,1999,BS Communications Technology,Globe,Male
name959,lastname959,November,1,1997,BS Management Engineering,Globe,Female
name960,lastname960,August,5,1998,BS Management,Smart,Male
name961,lastname961,October,28,1997,BS Management Engineering,Globe,Male
name962,lastname962,June,24,1998,BS Information Technology Entrepreneurship,Globe,Female
name963,lastname963,December,25,1997,BS Information Technology Entrepreneurship,Globe,Male
name964,lastname964,March,24,2000,BS Communications Technology,Globe,Male
name965,lastname965,July,21,1997,BS Communications Technology,Globe,Female
name966,lastname966,November,15,1999,BS Information Technology Entrepreneurship,Globe,Female
name967,lastname967,March,26,1999,BS Information Technology Entrepreneurship,Globe,Male
name968,lastname968,March,19,2000,BS Communications Technology,Globe,Female
name969,lastname969,June,2,1998,BS Information Technology Entrepreneurship,Globe,Female
name970,lastname970,July,9,1997,BS Management Engineering,Globe,Male
name971,lastname971,April,9,1998,BS Management Engineering,Globe,Female
name972,lastname972,November,28,1999,BS Communications Technology,Globe,Male
name973,lastname973,May,25,1997,BS Management Engineering,Globe,Male
name974,lastname974,December,20,2001,BS Information Technology Entrepreneurship,Globe,Male
name975,lastname975,March,11,2000,BS Management Engineering,Globe,Female
name976,lastname976,November,7,1999,BS Legal Management,Smart,Female
name977,lastname977,March,21,1999,BS Management Engineering,Smart,Female
name978,lastname978,November,25,1997,BS Management Engineering,Globe,Female
name979,lastname979,September,23,1998,BS Management,Globe,Male
name980,lastname980,December,14,2001,BS Legal Management,Smart,Female
name981,lastname981,March,10,1999,BS Communications Technology,Globe,Male
name982,lastname982,June,21,2000,BS Legal Management,Globe,Female
name983,lastname983,March,24,1999,BS Legal Management,Globe,Male
name984,lastname984,July,22,1999,BS Legal Management,Globe,Female
name985,lastname985,November,17,2001,BS Communications Technology,Globe,Female
name986,lastname986,February,28,2000,BS Communications Technology,Globe,Female
name987,lastname987,January,13,1997,BS Management,Globe,Female
name988,lastname988,December,27,1997,BS Legal Management,Globe,Male
name989,lastname989,February,26,1999,BS Management Engineering,Smart,Male
name990,lastname990,October,4,1998,BS Management,Smart,Male
name991,lastname991,November,22,2000,BS Management,Globe,Male
name992,lastname992,August,14,1999,BS Legal Managemnet,Globe,Female
name993,lastname993,July,5,2000,BS Management,Smart,Male
name994,lastname994,May,20,1998,BS Management Engineering,Globe,Female
name995,lastname995,June,11,1999,BS Information Technology Entrepreneurship,Globe,Male
name996,lastname996,May,4,1998,BS Legal Management,Globe,Female
name997,lastname997,September,24,1997,BS Management,Smart,Male
name998,lastname998,March,4,1999,BS Communications Technology,Globe,Male
name999,lastname999,January,11,1999,BS Management,Globe,Female
name1000,lastname1000,July,24,1998,BS Legal Managemnet,Globe,Female
name1001,lastname1001,October,13,1999,BS Legal Management,Smart,Male
name1002,lastname1002,January,16,1997,BS Information Technology Entrepreneurship,Globe,Female
name1003,lastname1003,July,1,1999,BS Information Technology Entrepreneurship,Globe,Female
name1004,lastname1004,June,8,1997,BS Management Engineering,Smart,Female
name1005,lastname1005,January,14,2000,BS Management,Smart,Female
name1006,lastname1006,March,23,1999,BS Information Technology Entrepreneurship,Globe,Male
name1007,lastname1007,September,14,1997,BS Management,Smart,Male
name1008,lastname1008,May,13,1998,BS Communications Technology,Globe,Female
name1009,lastname1009,February,23,1998,BS Management,Smart,Female
name1010,lastname1010,May,25,1999,BS Management,Globe,Female
name1011,lastname1011,April,9,1999,BS Legal Managemnet,Smart,Male
name1012,lastname1012,May,14,1997,BS Management,Globe,Female
name1013,lastname1013,September,8,1997,BS Management,Globe,Male
name1014,lastname1014,May,1,2001,BS Management Engineering,Smart,Female
name1015,lastname1015,March,10,1997,BS Legal Management,Globe,Female
name1016,lastname1016,April,16,1997,BS Communications Technology,Globe,Male
name1017,lastname1017,January,17,1998,BS Communications Technology,Smart,Female
name1018,lastname1018,February,21,1997,BS Management,Globe,Male
name1019,lastname1019,July,16,2001,BS Management,Globe,Male
name1020,lastname1020,March,13,1999,BS Management,Globe,Female
name1021,lastname1021,May,20,1998,BS Information Technology Entrepreneurship,Globe,Male
name1022,lastname1022,December,4,1997,BS Information Technology Entrepreneurship,Smart,Female
name1023,lastname1023,June,28,2000,BS Legal Management,Smart,Male
name1024,lastname1024,September,9,1998,BS Management Engineering,Globe,Male
name1025,lastname1025,March,8,1999,BS Communications Technology,Smart,Male
name1026,lastname1026,January,15,1998,BS Management,Globe,Female
name1027,lastname1027,January,14,1999,BS Management Engineering,Globe,Female
name1028,lastname1028,June,28,1999,BS Management,Globe,Female
name1029,lastname1029,September,11,1999,BS Communications Technology,Globe,Female
name1030,lastname1030,April,7,2001,BS Legal Management,Globe,Female
name1031,lastname1031,August,21,1999,BS Information Technology Entrepreneurship,Smart,Female
name1032,lastname1032,December,26,1999,BS Communications Technology,Globe,Male
name1033,lastname1033,May,16,1998,BS Communications Technology,Smart,Female
name1034,lastname1034,December,15,2000,BS Management,Globe,Male
name1035,lastname1035,June,1,1999,BS Communications Technology,Smart,Female
name1036,lastname1036,June,3,2000,BS Management,Globe,Male
name1037,lastname1037,January,19,2001,BS Information Technology Entrepreneurship,Smart,Female
name1038,lastname1038,January,22,1999,BS Management Engineering,Smart,Female
name1039,lastname1039,January,16,2000,BS Management Engineering,Globe,Male
name1040,lastname1040,December,6,1997,BS Management Engineering,Smart,Female
name1041,lastname1041,February,12,1998,BS Communications Technology,Globe,Female
name1042,lastname1042,December,24,1997,BS Legal Management,Smart,Male
name1043,lastname1043,March,13,1999,BS Communications Technology,Globe,Female
name1044,lastname1044,July,2,1997,BS Information Technology Entrepreneurship,Smart,Male
name1045,lastname1045,May,21,1997,BS Communications Technology,Globe,Male
name1046,lastname1046,May,22,2001,BS Management,Globe,Female
name1047,lastname1047,May,25,1998,BS Legal Managemnet,Smart,Male
name1048,lastname1048,March,25,1998,BS Management Engineering,Globe,Male
name1049,lastname1049,February,1,1997,BS Management Engineering,Globe,Female
name1050,lastname1050,July,28,1998,BS Information Technology Entrepreneurship,Globe,Male
name1051,lastname1051,June,9,2001,BS Management Engineering,Globe,Female
name1052,lastname1052,April,6,1997,BS Legal Managemnet,Globe,Female
name1053,lastname1053,April,9,2000,BS Information Technology Entrepreneurship,Globe,Male
name1054,lastname1054,November,7,1998,BS Management Engineering,Smart,Male
name1055,lastname1055,August,23,1999,BS Communications Technology,Smart,Female
name1056,lastname1056,April,6,1999,BS Information Technology Entrepreneurship,Smart,Female
name1057,lastname1057,February,28,2001,BS Management Engineering,Smart,Male
name1058,lastname1058,November,12,2001,BS Legal Management,Globe,Female
name1059,lastname1059,April,11,1998,BS Information Technology Entrepreneurship,Smart,Male
name1060,lastname1060,July,1,2000,BS Communications Technology,Smart,Male
name1061,lastname1061,May,24,1997,BS Communications Technology,Globe,Female
name1062,lastname1062,July,19,1998,BS Management Engineering,Globe,Male
name1063,lastname1063,January,13,1997,BS Information Technology Entrepreneurship,Smart,Female
name1064,lastname1064,March,7,2000,BS Communications Technology,Globe,Male
name1065,lastname1065,April,8,1999,BS Management,Smart,Male
name1066,lastname1066,January,28,1997,BS Management Engineering,Globe,Male
name1067,lastname1067,October,3,1999,BS Legal Management,Globe,Female
name1068,lastname1068,July,4,1997,BS Communications Technology,Smart,Female
name1069,lastname1069,May,23,1999,BS Information Technology Entrepreneurship,Smart,Female
name1070,lastname1070,February,18,1999,BS Information Technology Entrepreneurship,Smart,Female
name1071,lastname1071,January,14,1999,BS Communications Technology,Smart,Female
name1072,lastname1072,August,13,1999,BS Communications Technology,Smart,Female
name1073,lastname1073,October,1,1997,BS Information Technology Entrepreneurship,Globe,Male
name1074,lastname1074,February,26,1998,BS Management,Globe,Male
name1075,lastname1075,August,22,2000,BS Communications Technology,Smart,Male
name1076,lastname1076,June,19,1998,BS Information Technology Entrepreneurship,Globe,Female
name1077,lastname1077,August,1,1997,BS Communications Technology,Globe,Male
name1078,lastname1078,August,18,1998,BS Management,Globe,Male
name1079,lastname1079,October,7,1999,BS Management Engineering,Smart,Female
name1080,lastname1080,November,17,2000,BS Management Engineering,Globe,Male
name1081,lastname1081,December,5,1999,BS Management Engineering,Globe,Male
name1082,lastname1082,January,28,2000,BS Management Engineering,Smart,Female
name1083,lastname1083,December,15,1998,BS Information Technology Entrepreneurship,Smart,Female
name1084,lastname1084,February,27,1999,BS Management,Globe,Female
name1085,lastname1085,June,28,2001,BS Communications Technology,Globe,Male
name1086,lastname1086,April,28,1997,BS Management,Globe,Male
name1087,lastname1087,March,28,1998,BS Management Engineering,Globe,Female
name1088,lastname1088,September,5,1999,BS Information Technology Entrepreneurship,Globe,Female
name1089,lastname1089,April,25,1999,BS Communications Technology,Smart,Male
name1090,lastname1090,July,27,2000,BS Communications Technology,Smart,Female
name1091,lastname1091,February,24,1999,BS Management,Globe,Female
name1092,lastname1092,February,17,2000,BS Management Engineering,Globe,Male
name1093,lastname1093,May,23,1997,BS Management Engineering,Globe,Male
name1094,lastname1094,June,25,2000,BS Management Engineering,Globe,Male
name1095,lastname1095,January,26,1997,BS Information Technology Entrepreneurship,Globe,Female
name1096,lastname1096,July,21,2001,BS Information Technology Entrepreneurship,Globe,Male
name1097,lastname1097,July,2,2000,BS Information Technology Entrepreneurship,Smart,Male
name1098,lastname1098,January,15,1999,BS Management Engineering,Globe,Female
name1099,lastname1099,March,22,2001,BS Management,Smart,Male
name1100,lastname1100,November,19,1997,BS Legal Management,Smart,Male
name1101,lastname1101,April,5,2000,BS Information Technology Entrepreneurship,Globe,Male
name1102,lastname1102,May,14,1999,BS Legal Managemnet,Globe,Male
name1103,lastname1103,June,4,2001,BS Management Engineering,Globe,Male
name1104,lastname1104,December,12,1999,BS Communications Technology,Globe,Male
name1105,lastname1105,March,23,1999,BS Management Engineering,Globe,Female
name1106,lastname1106,October,26,1998,BS Legal Management,Globe,Male
name1107,lastname1107,December,14,2000,BS Management,Smart,Male
name1108,lastname1108,April,21,1997,BS Information Technology Entrepreneurship,Smart,Male
name1109,lastname1109,August,18,1997,BS Management,Globe,Female
name1110,lastname1110,November,23,1997,BS Communications Technology,Globe,Male
name1111,lastname1111,March,17,2001,BS Communications Technology,Globe,Male
name1112,lastname1112,February,25,1998,BS Legal Management,Globe,Female
name1113,lastname1113,June,8,1997,BS Information Technology Entrepreneurship,Globe,Female
name1114,lastname1114,June,16,1998,BS Information Technology Entrepreneurship,Globe,Male
name1115,lastname1115,February,25,1997,BS Management Engineering,Globe,Female
name1116,lastname1116,January,4,1999,BS Management,Globe,Male
name1117,lastname1117,April,25,2001,BS Information Technology Entrepreneurship,Smart,Male
name1118,lastname1118,July,23,1998,BS Management,Globe,Male
name1119,lastname1119,July,17,2001,BS Information Technology Entrepreneurship,Smart,Male
name1120,lastname1120,March,10,1999,BS Management,Smart,Male
name1121,lastname1121,December,17,1998,BS Legal Managemnet,Smart,Male
name1122,lastname1122,January,3,1998,BS Legal Management,Globe,Male
name1123,lastname1123,September,2,2001,BS Legal Management,Globe,Male
name1124,lastname1124,January,1,1998,BS Management Engineering,Globe,Male
name1125,lastname1125,June,20,1999,BS Information Technology Entrepreneurship,Globe,Female
name1126,lastname1126,May,2,1998,BS Management,Globe,Male
name1127,lastname1127,July,28,1999,BS Information Technology Entrepreneurship,Globe,Male
name1128,lastname1128,February,16,2001,BS Communications Technology,Smart,Female
name1129,lastname1129,January,17,1998,BS Information Technology Entrepreneurship,Globe,Female
name1130,lastname1130,November,14,1997,BS Legal Management,Globe,Male
name1131,lastname1131,December,6,1998,BS Legal Management,Smart,Male
name1132,lastname1132,June,12,1997,BS Legal Management,Smart,Male
name1133,lastname1133,May,26,1998,BS Communications Technology,Globe,Female
name1134,lastname1134,June,26,1998,BS Management,Globe,Female
name1135,lastname1135,October,23,2000,BS Information Technology Entrepreneurship,Globe,Female
name1136,lastname1136,August,12,1998,BS Information Technology Entrepreneurship,Globe,Male
name1137,lastname1137,March,2,2001,BS Information Technology Entrepreneurship,Globe,Male
name1138,lastname1138,January,27,1998,BS Legal Managemnet,Smart,Male
name1139,lastname1139,March,7,1999,BS Information Technology Entrepreneurship,Globe,Male
name1140,lastname1140,July,10,1997,BS Communications Technology,Smart,Male
name1141,lastname1141,August,8,1997,BS Management Engineering,Globe,Male
name1142,lastname1142,January,13,1998,BS Information Technology Entrepreneurship,Smart,Male
name1143,lastname1143,January,22,2001,BS Management,Globe,Male
name1144,lastname1144,March,5,1997,BS Communications Technology,Smart,Male
name1145,lastname1145,March,26,2001,BS Management Engineering,Smart,Female
name1146,lastname1146,January,3,1999,BS Management Engineering,Globe,Male
name1147,lastname1147,December,18,1998,BS Communications Technology,Globe,Male
name1148,lastname1148,May,23,1999,BS Management,Globe,Male
name1149,lastname1149,August,9,1997,BS Legal Managemnet,Globe,Female
name1150,lastname1150,February,22,1998,BS Management,Smart,Male
name1151,lastname1151,May,13,1999,BS Information Technology Entrepreneurship,Globe,Female
name1152,lastname1152,September,22,1998,BS Management Engineering,Globe,Male
name1153,lastname1153,May,2,1997,BS Management Engineering,Globe,Female
name1154,lastname1154,April,13,1999,BS Management,Smart,Female
name1155,lastname1155,September,10,1997,BS Communications Technology,Globe,Female
name1156,lastname1156,March,17,1998,BS Information Technology Entrepreneurship,Globe,Female
name1157,lastname1157,April,12,2000,BS Information Technology Entrepreneurship,Smart,Female
name1158,lastname1158,June,14,2001,BS Information Technology Entrepreneurship,Smart,Male
name1159,lastname1159,December,13,1999,BS Legal Managemnet,Globe,Male
name1160,lastname1160,March,6,1998,BS Information Technology Entrepreneurship,Globe,Male
name1161,lastname1161,June,21,2001,BS Communications Technology,Globe,Female
name1162,lastname1162,July,25,1997,BS Information Technology Entrepreneurship,Globe,Female
name1163,lastname1163,December,6,1999,BS Communications Technology,Globe,Female
name1164,lastname1164,February,23,1997,BS Communications Technology,Globe,Male
name1165,lastname1165,January,12,1998,BS Management,Smart,Female
name1166,lastname1166,November,16,2001,BS Management,Globe,Male
name1167,lastname1167,January,6,1999,BS Management Engineering,Globe,Male
name1168,lastname1168,August,10,1998,BS Information Technology Entrepreneurship,Smart,Male
name1169,lastname1169,May,26,1998,BS Management Engineering,Globe,Female
name1170,lastname1170,August,22,1999,BS Information Technology Entrepreneurship,Globe,Male
name1171,lastname1171,August,21,1999,BS Management Engineering,Globe,Male
name1172,lastname1172,December,24,2001,BS Information Technology Entrepreneurship,Globe,Female
name1173,lastname1173,July,6,1997,BS Legal Managemnet,Globe,Male
name1174,lastname1174,April,28,1997,BS Management,Globe,Male
name1175,lastname1175,March,26,1998,BS Management,Smart,Male
name1176,lastname1176,March,10,1997,BS Management Engineering,Globe,Male
name1177,lastname1177,October,5,1999,BS Legal Management,Globe,Female
name1178,lastname1178,January,17,1999,BS Legal Management,Globe,Male
name1179,lastname1179,September,6,1998,BS Management,Globe,Female
name1180,lastname1180,December,27,1998,BS Management Engineering,Smart,Female
name1181,lastname1181,June,11,1998,BS Legal Managemnet,Globe,Male
name1182,lastname1182,April,22,1997,BS Legal Management,Globe,Female
name1183,lastname1183,October,13,2001,BS Management,Globe,Female
name1184,lastname1184,August,6,1998,BS Management,Globe,Male
name1185,lastname1185,August,14,2000,BS Legal Managemnet,Smart,Female
name1186,lastname1186,May,26,1997,BS Legal Management,Globe,Male
name1187,lastname1187,September,23,1999,BS Management,Globe,Male
name1188,lastname1188,July,6,1997,BS Legal Managemnet,Globe,Male
name1189,lastname1189,March,27,1997,BS Management,Globe,Male
name1190,lastname1190,April,18,1999,BS Management,Globe,Male
name1191,lastname1191,October,22,1997,BS Management,Globe,Female
name1192,lastname1192,June,23,1998,BS Management Engineering,Smart,Female
name1193,lastname1193,August,8,2000,BS Information Technology Entrepreneurship,Globe,Male
name1194,lastname1194,June,11,1999,BS Legal Managemnet,Globe,Female
name1195,lastname1195,October,24,1997,BS Information Technology Entrepreneurship,Smart,Male
name1196,lastname1196,October,5,1999,BS Legal Management,Smart,Female
name1197,lastname1197,December,15,1998,BS Information Technology Entrepreneurship,Smart,Female
name1198,lastname1198,September,8,1999,BS Legal Management,Smart,Female
name1199,lastname1199,February,15,2001,BS Management Engineering,Globe,Male
name1200,lastname1200,May,6,1997,BS Management,Globe,Female
name1201,lastname1201,December,26,1998,BS Communications Technology,Globe,Female
name1202,lastname1202,December,25,1997,BS Management,Smart,Male
name1203,lastname1203,March,15,1998,BS Information Technology Entrepreneurship,Smart,Male
name1204,lastname1204,June,23,1997,BS Communications Technology,Globe,Female
name1205,lastname1205,February,4,1998,BS Management Engineering,Smart,Female
name1206,lastname1206,December,6,1997,BS Information Technology Entrepreneurship,Globe,Male
name1207,lastname1207,July,13,1997,BS Communications Technology,Globe,Female
name1208,lastname1208,June,12,1997,BS Communications Technology,Smart,Male
name1209,lastname1209,July,12,2001,BS Information Technology Entrepreneurship,Globe,Male
name1210,lastname1210,June,8,1997,BS Legal Management,Globe,Male
name1211,lastname1211,November,24,2001,BS Legal Management,Smart,Female
name1212,lastname1212,October,12,1997,BS Legal Managemnet,Globe,Male
name1213,lastname1213,April,22,1998,BS Management,Globe,Female
name1214,lastname1214,April,25,2000,BS Legal Management,Globe,Female
name1215,lastname1215,September,17,1998,BS Management,Globe,Female
name1216,lastname1216,August,2,1999,BS Management,Smart,Female
name1217,lastname1217,May,22,1997,BS Management Engineering,Globe,Female
